05/10/2006;Bruits de Lune
07/10/2006;Nuit Blanche
10/10/2006;Milk + The Come Ons
11/10/2006;Saule et les Pleureurs + La Tropa + Peïo
19/10/2006;SFAV
20/10/2006;IKOZ
26/10/2006;Zef + Arman Méliès + Dominique A
27/10/2006;Festival Région > Ji Mob + Samarabalouf
28/10/2006;Présélections régionales du Printemps de Bourges
07/11/2006;Bruits de Lune
09/11/2006;Gong Gong + Zenzile Sound System
10/11/2006;SOSO + EPIC
13/11/2006;The Flash Express + The Bellrays
18/11/2006;Recueil Morbide + Obdurated + Insane + Overload
23/11/2006;Molly'S + The Lords Of Altamont
23/11/2006;Bertrand &
02/12/2006;TREPALIUM + FORCE FED + DSK
05/12/2006;Bruits de Lune
07/12/2006;Jack The Ripper
09/12/2006;Migoya Trio + Ramona Cordova
14/12/2006;finissage  Expo Donjon
11/01/2007;AKLI D
19/01/2007;ZOMBIE ZOMBIE + BIKINI MACHINE
27/01/2007;Tremplin Départemental + MAP
02/02/2007;TOMA SIDIBE
03/02/2007;TOMA SIDIBE + invités
06/02/2007;SSM + ARCHIE BRONSON OUTFIT
10/02/2007;Show no mercy IV : ASHURA + ANORAK + DISGUSTED + HAPPY FACE
15/02/2007;THE BEYONDERS + ADAM KESHER + STUCK IN THE SOUND
21/02/2007;JASON EDWARDS + CORRINA REPP + THE ALBUM LEAF
22/02/2007;ACOUSTIC LADYLAND
23/02/2007;WÜRM + RESISTANCE + THE ARRS
02/03/2007;KLANGUAGE + GOMM
03/03/2007;CHRISTIAN PACCOUD + NIL'1 NIL'ÔTR & invités
09/03/2007;ALTERED BEAST + VAKARM
13/03/2007;KATEL + MIOSSEC
14/03/2007;HINDI ZAHRA + ANIS
20/03/2007;BRUITS DE LUNE MARS
21/03/2007;DOBACARACOL
22/03/2007;PANTA REI + ANDY MOOR (THE EX) & DJ RUPTURE
23/03/2007;PATXI
28/03/2007;THE LEGENDARY TIGERMAN
29/03/2007;JAKE ZIAH
30/03/2007;SEB MARTEL
31/03/2007;SON OF DAVE
05/04/2007;PORNORAMA + HEY GRAVITY
06/04/2007;TREMPLI ROCK EN STOCK
07/04/2007;THE VICTORIAN ENGLISH GENTLEMEN CLUB + PRAVDA
10/04/2007;BRUITS DE LUNE AVRIL
13/04/2007;MILK + SECOND SEX
14/04/2007;PSORIASIS + BALROG + MALLEUS MELEFICARUM + GENITAL GRINDER
18/04/2007;MOLLY'S + LES NAAST
23/04/2007;TENDER FOREVER + ELECTRELANE
